2024-03-18 12:30:36,648 task INFO:select dataset: mnist
2024-03-18 12:30:37,007 task INFO:select model: cnn, model args: {'class_num': 10}
2024-03-18 12:30:37,009 task INFO:optimizer: adam, learning rate: 0.001
2024-03-18 12:30:38,020 task INFO:start train...
2024-03-18 12:30:38,022 task DEBUG:epoch_0 start...
2024-03-18 12:30:38,050 task INFO:Epoch: 1, loss = 2.306049
2024-03-18 12:30:38,140 task INFO:Epoch: 1, loss = 2.258298
2024-03-18 12:30:38,196 task INFO:Epoch: 1, loss = 2.225484
2024-03-18 12:30:38,251 task INFO:Epoch: 1, loss = 2.159197
2024-03-18 12:30:38,310 task INFO:Epoch: 1, loss = 2.140461
2024-03-18 12:30:38,365 task INFO:Epoch: 1, loss = 2.042918
2024-03-18 12:30:38,423 task INFO:Epoch: 1, loss = 1.927910
2024-03-18 12:30:38,472 task INFO:Epoch: 1, loss = 1.841172
2024-03-18 12:30:38,527 task INFO:Epoch: 1, loss = 1.811504
2024-03-18 12:30:38,577 task INFO:Epoch: 1, loss = 1.623215
2024-03-18 12:30:38,627 task INFO:Epoch: 1, loss = 1.476641
2024-03-18 12:30:38,674 task INFO:Epoch: 1, loss = 1.373207
2024-03-18 12:30:38,725 task INFO:Epoch: 1, loss = 1.177669
2024-03-18 12:30:38,780 task INFO:Epoch: 1, loss = 0.968983
2024-03-18 12:30:38,833 task INFO:Epoch: 1, loss = 0.896625
2024-03-18 12:30:38,881 task INFO:Epoch: 1, loss = 0.935033
2024-03-18 12:30:38,930 task INFO:Epoch: 1, loss = 0.684851
2024-03-18 12:30:38,982 task INFO:Epoch: 1, loss = 0.676793
2024-03-18 12:30:39,031 task INFO:Epoch: 1, loss = 0.765478
2024-03-18 12:30:39,074 task INFO:Epoch: 1, loss = 0.739209
2024-03-18 12:30:39,119 task INFO:Epoch: 1, loss = 0.719751
2024-03-18 12:30:39,167 task INFO:Epoch: 1, loss = 0.679985
2024-03-18 12:30:39,210 task INFO:Epoch: 1, loss = 0.595233
2024-03-18 12:30:39,265 task INFO:Epoch: 1, loss = 0.750053
